,player_name,total_points,position
417,Juwan Morgan,42.0,PF
418,Nick Richards,33.400000000000006,C
419,Mfiondu Kabengele,29.000000000000004,C
420,Adam Mokoka,30.500000000000004,SG
421,Tre Jones,31.300000000000004,PG
422,Alize Johnson,39.1,SF
422,Alize Johnson,39.1,PF
423,Khyri Thomas,24.5,SG
424,Miye Oni,26.100000000000005,SG
426,Terance Mann,24.300000000000004,SF
427,Jaden McDaniels,20.400000000000002,PF
428,Matt Thomas,21.3,SG
429,Jahmi'us Ramsey,21.400000000000002,SG
430,Ignas Brazdeikis,28.700000000000003,SF
431,Damian Jones,21.099999999999994,C
432,Rayjon Tucker,23.200000000000003,SF
433,Theo Pinson,20.099999999999994,SF
434,Oshae Brissett,19.799999999999997,SF
434,Oshae Brissett,19.799999999999997,PF
435,Joakim Noah,19.499999999999993,PF
435,Joakim Noah,19.499999999999993,C
436,Talen Horton-Tucker,13.700000000000003,SG
436,Talen Horton-Tucker,13.700000000000003,SF
437,Quinndary Weatherspoon,15.799999999999999,SG
438,Jacob Evans,14.299999999999999,SG
439,Johnathan Motley,13.5,SF
440,Louis King,18.0,PF
441,Frank Mason,16.400000000000002,PG
442,B.J. Johnson,14.999999999999995,SF
443,Jarred Vanderbilt,5.3999999999999995,SF
444,Zylan Cheatham,10.8,SF
445,Nigel Williams-Goss,11.399999999999997,PG
446,Vlatko Cancar,12.400000000000002,SF
446,Vlatko Cancar,12.400000000000002,PF
447,Skylar Mays,9.000000000000002,PG
447,Skylar Mays,9.000000000000002,SG
448,Naz Mitrou-Long,9.899999999999999,PG
449,Chris Clemons,6.6000000000000005,PG
450,KZ Okpala,8.0,SF
451,Dewan Hernandez,12.100000000000001,C
452,Antonius Cleveland,9.099999999999998,SG
452,Antonius Cleveland,9.099999999999998,SF
453,Ray Spalding,8.600000000000001,PF
454,Kevin Hervey,13.1,PF
455,Moses Brown,9.3,C
456,Josh Reaves,5.1,SG
456,Josh Reaves,5.1,SF
457,Jordan Bone,7.7,PG
458,Kobi Simmons,1.2000000000000006,SG
459,Jalen Lecque,2.8999999999999986,PG
460,Kostas Antetokounmpo,6.3999999999999995,PF
460,Kostas Antetokounmpo,6.3999999999999995,C
461,Tariq Owens,6.3,PF
462,Michael Frazier,8.9,SG
463,Isaiah Roby,0.4,PF
464,Jared Harper,-0.19999999999999984,PG
465,Vic Law,6.6000000000000005,PG
466,William Howard,2.3999999999999977,SF
